SET,SCCC,Siam City Cement Public Company Limited,
SET,TMB,TMB Bank Public Company Limited,
SET,TOP,Thai Oil Public Company Limited,
SET,TPIPL,TPI Polene Public Company Limited,
SET,TRUE,True Corporation Public Company Limited,
SET,TRUEIF,TRUE Telecommunications Growth Infrastructure Fund,
SET,TUF,Thai Union Frozen Products Public Company Limited,
SET,WHA,WHA Corporation Public Company Limited,
TSEC,1101,Taiwan Cement Corp.,
TSEC,1102,Asia Cement Corp.,
TSEC,1216,Uni-President Enterprises Corporation,
TSEC,1301,Formosa Plastics Corporation,
TSEC,1303,Nan Ya Plastics Corporation,
TSEC,1326,Formosa Chemicals & Fibre Corporation,
TSEC,1402,Far Eastern New Century Corporation,
TSEC,1476,Eclat Textile Corporation Ltd.,
TSEC,2002,China Steel Corp.,
TSEC,2105,Cheng Shin Rubber Industries Co. Ltd.,
TSEC,2207,Hotai Motor Co., Ltd.,
TSEC,2227,Yulon Nissan Motor Co. Ltd.,
TSEC,2301,Lite-On Technology Corp.,
TSEC,2303,United Microelectronics Corporation,
TSEC,2308,Delta Electronics Inc.,
TSEC,2311,Advanced Semiconductor Engineering Inc.,
TSEC,2317,Hon Hai Precision Industry Co., Ltd.,
TSEC,2324,Compal Electronics, Inc.,
TSEC,2325,Siliconware Precision Industries Co. Ltd.,
TSEC,2330,Taiwan Semiconductor Manufacturing Company Limited,
TSEC,2347,Synnex Technology International Corporation,
TSEC,2354,Foxconn Technology Co., Ltd.,
TSEC,2356,Inventec Corp.,
TSEC,2357,ASUSTeK Computer, Inc.,
TSEC,2382,Quanta Computer, Inc.,
TSEC,2395,Advantech Co. Ltd.,
TSEC,2408,Nanya Technology Corporation,
TSEC,2409,AU Optronics Corp.,
TSEC,2412,Chunghwa Telecom Co., Ltd.,
TSEC,2454,MediaTek Inc.,
TSEC,2474,Catcher Technology Co., Ltd.,
TSEC,2498,HTC Corporation,
TSEC,2542,Highwealth Construction Corp.,
TSEC,2610,China Airlines, Ltd.,
TSEC,2615,Wan Hai Lines Ltd.,
TSEC,2618,Eva Airways Corp.,
TSEC,2801,Chang Hwa Commercial Bank, Ltd.,
TSEC,2823,China Life Insurance Co., Ltd.,
TSEC,2880,Hua Nan Financial Holdings Co. Ltd.,
TSEC,2881,Fubon Financial Holding Co., Ltd.,
TSEC,2882,Cathay Financial Holding Co., Ltd.,
TSEC,2883,China Development Financial Holding Corporation,
TSEC,2884,E.SUN Financial Holding Company, Ltd.,
TSEC,2885,Yuanta Financial Holding Co., Ltd.,
TSEC,2886,Mega Financial Holding Company,
TSEC,2887,Taishin Financial Holding Co., Ltd.,
TSEC,2888,Shin Kong Financial Holding Co., Ltd.,
TSEC,2890,Sinopac Financial Holdings Company Limited,
TSEC,2891,CTBC Financial Holding Co., Ltd.,
TSEC,2892,First Financial Holding Co., Ltd.,
TSEC,2912,President Chain Store Corp.,
TSEC,2915,Ruentex Industries Limited,
TSEC,3008,Largan Precision Co., Ltd.,
TSEC,3034,Novatek Microelectronics Corp.,
TSEC,3045,Taiwan Mobile Co., Ltd,
TSEC,3474,Inotera Memories Inc.,
TSEC,3481,Innolux Corporation,
TSEC,3673,TPK Holding Co., Ltd.,
TSEC,3702,WPG Holdings Limited,
TSEC,4904,Far EasTone Telecommunications Co., Ltd.,
TSEC,4938,Pegatron Corporation,
TSEC,4958,Zhen Ding Technology Holding Limited,
TSEC,5264,Casetek Holdings Limited,
TSEC,5871,Chailease Holding Company Limited,
TSEC,5880,Taiwan Cooperative Financial Holding Co., Ltd.,
TSEC,6505,Formosa Petrochemical Corp.,
TSEC,9904,Pou Chen Corporation,
TSEC,9910,Feng Tay Enterprises Co., Ltd.,
TSEC,9914,Merida Industry Co. Ltd.,
TSEC,9921,Giant Manufacturing Co. Ltd.,