Date	cusip	sedol	compustat_id	ROE	CFROIC	LTDE	CapAcqRatio	ShareChg	CashCycle	NetProfitMargin	WCAccruals	BP	PM12M1M	PM1M	LogMktCap	AnnVol12M	AnnVol1M	HL1M	LogTTMSales	FCFP	EBITDAEV	EP	AstAdjChg1YFCF	AstAdjChg1YOCF	Chg1YAstTo	Chg1YEPS	PM9M	Beta60M	SusGrwRate	90DCV	DivP	SEV	AccrualRatioCF	PM5D	NIStab	LTGC	EstDiffC	SUEC	EPSNumRevFY1C	PM-style	HG-style	CE-style	Val-style	EQ-style	Sz-style	Vol-style	AE-style
2014-03-11		6231149	24828301W	4	4		5	2	5	5	2	1	5	1	1	1	1	1	1	4	4	5	1	1	1	5	5	2		1		2	5	3						3	1	4	3	5	1	1	
2014-03-11		B2892N9	28723001W	5	5		4	2	5	5	1	1	4	1	1	1	1	1	1	5	1	5	5	5	5		5	4		1		5	1	1	5			5		1	5	5	4	4	1	1	5
2014-03-11		B2893H0	28724901W	5	4		5	2	5	5	3	1	5	1	2	1	1	1	2	5	5	5	4	4	5	5	5	1		1		1	2	1	5					2	5	4	4	5	2	1	
2014-03-11		B1ZBWH5	28558101W	4	3		1	4	4	4	2	2	3	1	1	1	1		1	2	3	4	1	1	4		5	5		1		2	1	1						2	2	5	2	4	1	2	
2014-03-11		B04KPJ9	28559701W	3	3	4	3	4	3	2	1	3	3	2	4	3	3	1	3	4	3	3	2	2	2	1	3	1	4	3	5	4		2						1	2	3	3	1	4	2	
2014-03-11		6129761	24831001W	4	3	2	1	2	5	2	2	4	2	4	3	3	2	2	1	2	4	4	2	2	5	4	1		4	1	4	4	1	1	4					1	4	1	5	2	2	2	
2014-03-11		6341372	24831201W	2	1	2	1	4	4	2	1	3	2	1	2	3	3		2	1	1	1	1	1	4	3	2	5	1	3	5	2	1	3	2		5		5	1	1	1	1	1	2	4	5
2014-03-11		6388755	10375401W	5	2	5	1	1	1	5	4	2	5	1	2	3	2	1	3	1	2	5	3	4	2	5	5			2		3	1	1						2	4	3	2	2	2	2	
2014-03-11		B3LBBR6	29231901W	3	4	3	4	2	4	3	4	2	3	5	1	3	1	5	2	5	1	2	5	4	2		1			2		2		5						5	4	2	1	4	1	2	
2014-03-11		B3W5XY8	29253101W	4	1	2	1	2			5	1	1	1	2	2	1	1		1	3	4	1	2		4	4		1	1	5			2						1	1	1	2	5	2	1	
2014-03-11		B5V52C4	29437701W	5	5	4	5	2	5	5	3	1	4	3	3	2	1	5	1	5	5	5	2	1	5	5	2			4		5	2	2						3	3	5	5	5	2	2	
2014-03-11		B521L46	29451101W	3	3	4	1	4	1	1	3	4	4	3	5	5	5	3	3	3	3	2	3	3	2	3	4		5	5	1	5	3	2		5	3	2	4	3	4	3	3	1	4	5	4
2014-03-11		B4KLGT1	29509501W	4	2		4	5	3	4	5	1	5	3	1	5	2	1	1	1	1	5	1	5	4	5	4		4	3	2	1		3						3	4	4	1	5	1	3	
