Company Name	API ID
CHINA FIBRETECH LTD.	F6D:SGX
CHINA FISHERY GROUP LIMITED	B0Z:SGX
CHINA FLEXIBLE PACK HLDG LTD	C59:SGX
CHINA GAOXIAN FIBREFAB HLDGLTD	I4U:SGX
CHINA GREAT LAND HOLDINGS LTD.	D50:SGX
CHINA HAIDA LTD.	C92:SGX
CHINA HONGCHENG HOLDINGS LTD	C0Z:SGX
CHINA HONGXING SPORTS LIMITED	BR9:SGX
CHINA INTERNATIONAL HLDGS LTD	C37:SGX
CHINA JISHAN HOLDINGS LIMITED	J18:SGX
CHINA KANGDA FOOD COMPANY LTD	P74:SGX
CHINA KUNDA TECH HOLDINGS LTD	GU5:SGX
CHINA MERCHANTS HLDGS(PACIFIC)	C22:SGX
CHINA MERCHANTS PROP DEVTCOLTD	C03:SGX
CHINA MILK PRODUCTS GROUP LTD	G86:SGX
CHINA MINING INTERNATIONAL LTD	Y34:SGX
CHINA MINZHONG FOOD CORP LTD	K2N:SGX
CHINA NEW TOWN DEVT CO LIMITED	D4N:SGX
CHINA OILFIELD TEC SVCS GRPLTD	DT2:SGX
CHINA PAPER HOLDINGS LIMITED	C71:SGX
CHINA POWERPLUS LIMITED	Z02:SGX
CHINA PRINT POWER GROUP LTD	B3C:SGX
"CHINA SKY CHEM FIBRE CO., LTD."	E90:SGX
CHINA SPORTS INTL LIMITED	FQ8:SGX
CHINA SUN BIOCHEM TECH GP CO.	C86:SGX
CHINA SUNSINE CHEM HLDGS LTD.	CH8:SGX
CHINA TAISAN TECH GRP HLDGSLTD	F2X:SGX
CHINA XLX FERTILISER LTD.	B9R:SGX
CHINA YONGSHENG LIMITED	5KK:CATALIST
CHINA YUANBANG PROP HLDGS LTD	B2X:SGX
CHINASING INVESTMENT HLDG LTD	O2R:SGX
CHINAVISION MEDIA GRP LIMITED	S91:SGX
CHINESE GLOBAL INVESTORS GRP	5CJ:CATALIST
CHIP ENG SENG CORPORATION LTD	C29:SGX
CHOSEN HOLDINGS LIMITED	C10:SGX
CHUAN HUP HOLDINGS LIMITED	C33:SGX
CITY DEVELOPMENTS LIMITED	C09:SGX
CITYNEON HOLDINGS LIMITED	5HJ:SGX
CITYSPRING INFRASTRUCT TRUST	A7RU:SGX
CIVMEC LIMITED	P9D:SGX
CNA GROUP LTD.	5GC:SGX
CNMC GOLDMINE HOLDINGS LIMITED	5TP:CATALIST
COGENT HOLDINGS LIMITED	KJ9:SGX
COLEX HOLDINGS LIMITED	567:CATALIST
COMBINE WILL INTL HLDGS LTD	N0Z:SGX
COMFORTDELGRO CORPORATION LTD	C52:SGX
COMMUNICATION DESIGN INTL LTD	5HT:CATALIST
COMPACT METAL INDUSTRIES LTD	T4E:SGX
CORDLIFE GROUP LIMITED	P8A:SGX
CORTINA HOLDINGS LIMITED	C41:SGX
COSCO CORPORATION (S) LTD	F83:SGX
COSMOSTEEL HOLDINGS LIMITED	B9S:SGX
COURAGE MARINE GROUP LIMITED	E91:SGX
COURTS ASIA LIMITED	RE2:SGX
CPH LTD	539:CATALIST
CRAFT PRINT INTERNATIONAL LTD	541:CATALIST
CREATIVE TECHNOLOGY LTD	C76:SGX
CROESUS RETAIL TRUST	S6NU:SGX
