463,GTI2009,.,533,ABR HOLDINGS LIMITED,30-Jun-08,30,-1,29
598,GTI2013,.,535,VIBROPOWER CORPORATION LIMITED,31-Dec-12,28,-6,22
622,GTI2012,.,535,VIBROPOWER CORP LTD,31-Dec-10,25,-6,19
496,GTI2011,.,535,VIBROPOWER CORPORATION LIMITED,31-Dec-09,26,-3,23
586,GTI2010,.,535,VIBROPOWER CORPORATION LIMITED,31-Dec-08,26,-3,23
505,GTI2009,.,535,VIBROPOWER CORPORATION LIMITED,31-Dec-07,32,-5,27
588,GTI2013,.,536,GOLDTRON LIMITED,30-Jun-12,37,-14,23
587,GTI2012,.,536,GOLDTRON LTD,30-Jun-11,28,-6,22
618,GTI2011,.,536,GOLDTRON LIMITED,30-Jun-10,21,-8,13
564,GTI2010,.,536,GOLDTRON LIMITED,30-Jun-09,27,-3,24
591,GTI2009,.,536,GOLDTRON LIMITED,30-Jun-08,23,0,23
612,GTI2013,.,538,ASJ HOLDINGS LTD,31-Dec-12,24,-3,21
550,GTI2012,.,538,ASJ HLDGS LTD,31-Dec-10,27,-3,24
407,GTI2011,.,538,ASJ HOLDINGS LTD,31-Dec-09,29,-2,27
148,GTI2010,.,538,ASJ HOLDINGS LTD,31-Dec-08,42,-2,40
97,GTI2009,.,538,ASJ HOLDINGS LTD,31-Dec-07,44,-2,42
612,GTI2013,.,539,CPH LTD,31-Mar-12,27,-6,21
550,GTI2012,.,539,CPH LTD,31-Mar-11,24,0,24
604,GTI2011,.,539,CPH LTD,31-Mar-10,24,-9,15
468,GTI2010,.,539,CPH LTD,31-Mar-09,30,-2,28
505,GTI2009,.,539,CPH LTD (FORMERLY CIRCUITS PLUS HOLDINGS LTD),31-Mar-08,29,-2,27
480,GTI2013,.,540,TUNG LOK RESTAURANTS (2000) LTD,31-Mar-12,37,-8,29
587,GTI2012,.,540,TUNG LOK RESTAURANTS (2000) LTD,31-Mar-11,33,-11,22
281,GTI2011,.,540,TUNG LOK RESTAURANTS 2000 LTD,31-Mar-10,34,-2,32
