Company Name,Stock Code:Market,ISIN Code,HP Short Name
EUCON HOLDING LIMITED,E27:SGX,SG1Q02920318,Eucon^
HOSEN GROUP LTD,5EV:CATALIST,SG1Q03920366,Hosen
PAN ASIAN HOLDINGS LIMITED,5EW:CATALIST,SG1Q04920423,Pan Asian
PHARMESIS INTERNATIONAL LTD.,P31:SGX,SG1Q12920787,Pharmesis Intl
JEP HOLDINGS LTD.,5FA:CATALIST,SG1Q14921304,JEP
FUNG CHOI MEDIA GROUP LIMITED,F11:SGX,BMG3722U1071,Fung Choi Media
AZEUS SYSTEMS HOLDINGS LTD.,A69:SGX,BMG075391026,Azeus
PETRA FOODS LIMITED,P34:SGX,SG1Q25921608,Petra Foods
CHINA SUN BIOCHEM TECH GP CO.,C86:SGX,KYG843801070,China Sun Bio
SOUTHERN PACKAGING GROUP LTD,T77:SGX,SG1Q31922020,Southern Pkg
ACE ACHIEVE INFOCOM LIMITED,A75:SGX,BMG007FR1026,Ace Achieve Info
LANKOM ELECTRONICS LIMITED,L22:SGX,BMG5378M1156,LANKom Elec^
ADVANCE SCT LIMITED,5FH:SGX,SG1Q38922098,Advance SCT
ORIENTAL GROUP LTD.,5FI:CATALIST,SG1Q39922105,Oriental
YOUYUE INTERNATIONAL LIMITED,Y06:SGX,SG1Q40922128,Youyue Intl^
CHINA HAIDA LTD.,C92:SGX,SG1Q42922142,China Haida
GLOBAL YELLOW PAGES LIMITED,Y07:SGX,SG1Q48922278,GlobalYellowPgs
FALCON ENERGY GROUP LIMITED,5FL:SGX,SG1Q49922319,Falcon Energy
SUNTEC REAL ESTATE INV TRUST,T82U:SGX,SG1Q52922370,Suntec Reit
SELECT GROUP LIMITED,5FQ:CATALIST,SG1Q53922437,Select
ENVICTUS INTERNATIONAL HLDGLTD,5FR:SGX,SG1Q54922550,Envictus
YHI INTERNATIONAL LIMITED,Y08:SGX,SG1Q57923167,YHI Intl
CDW HOLDING LIMITED,D38:SGX,BMG2022E1021,CDW
LIONGOLD CORP LTD,A78:SGX,BMG5521X1092,LionGold
LINAIR TECHNOLOGIES LIMITED,5FW:CATALIST,SG1Q66923448,Linair Tech
FRAGRANCE GROUP LIMITED,F31:SGX,SG1Q67923454,Fragrance
IPC CORPORATION LIMITED,I12:SGX,SG1Q73923472,IPC Corp
OLAM INTERNATIONAL LIMITED,O32:SGX,SG1Q75923504,Olam Intl
CHINA GREAT LAND HOLDINGS LTD.,D50:SGX,SG1Q76923560,China Great Land
NEW WAVE HOLDINGS LTD.,5FX:CATALIST,SG1Q78923675,New Wave
KARIN TECHNOLOGY HLDGS LIMITED,K29:SGX,BMG521971033,Karin Tech
SIIC ENVIRONMENT HOLDINGS LTD.,5GB:SGX,SG1Q81923795,SIIC Environment
CNA GROUP LTD.,5GC:SGX,SG1Q82923885,CNA
SUNPOWER GROUP LTD.,5GD:SGX,BMG8585U1027,Sunpower
NICO STEEL HOLDINGS LIMITED,5GF:SGX,SG1R29924672,Nico Steel
SARINE TECHNOLOGIES LTD,U77:SGX,IL0010927254,Sarine Tech
C&G ENV PROTECT HLDGS LTD,D79:SGX,BMG1820V1000,C&G Env Protect
INTERRA RESOURCES LIMITED,5GI:SGX,SG1R37924805,Interra Resource
AUSGROUP LIMITED,5GJ:SGX,SG1R38924838,AusGroup
"BIOSENSORS INT'L GROUP, LTD.",B20:SGX,BMG113251000,Biosensors
FRENCKEN GROUP LIMITED,E28:SGX,SG1R43925234,Frencken
LONGCHEER HOLDINGS LIMITED,L28:SGX,BMG5635H1079,Longcheer
SEMBCORP INDUSTRIES LTD,U96:SGX,SG1R50925390,Sembcorp Ind
ADV INTEGRATED MFG CORP LTD,A54:SGX,SG1R55925478,AIM
MACQUARIE INT'L INFRA FUND LTD,M41:SGX,BMG5759W1047,Macquarie Intl
BAN LEONG TECHNOLOGIES LIMITED,B26:SGX,SG1R62925800,Ban Leong
MAPLETREE LOGISTICS TRUST,M44U:SGX,SG1S03926213,Mapletree Log Tr
OVERSEA-CHINESE BANKING CORP,O39:SGX,SG1S04926220,OCBC Bank
UNION STEEL HOLDINGS LIMITED,V69:SGX,SG1S05926369,Union Steel
LUXKING GROUP HOLDINGS LIMITED,L34:SGX,BMG5723Q1006,Luxking
GLOBAL TESTING CORPORATION LTD,G31:SGX,SG1S09926464,Global Testing
ASIA ENTERPRISES HOLDING LTD,A55:SGX,SG1S11926551,Asia Enterprises
AA GROUP HOLDINGS LTD.,5GZ:CATALIST,SG1S12926576,AA
BH GLOBAL CORPORATION LIMITED,B32:SGX,SG1S15926722,BH Global
STARHILL GLOBAL REIT,P40U:SGX,SG1S18926810,StarhillGbl Reit
"CHINA SKY CHEM FIBRE CO., LTD.",E90:SGX,KYG211051043,China Sky Chem
COURAGE MARINE GROUP LIMITED,E91:SGX,BMG2535T1099,Courage Marine
LIZHONG WHEEL GROUP LTD.,E94:SGX,SG1S28927147,Lizhong Wheel
NTEGRATOR INTERNATIONAL LTD,5HC:CATALIST,SG1S32927257,Ntegrator Intl
PACIFIC HEALTHCARE HLDGS LTD,P47:SGX,SG1S34927479,Pacific Hc^
UNIVERSAL RESOURCE & SVCS LTD,W81:SGX,SG1S35927486,Universal Res
EDITION LTD.,5HG:CATALIST,SG1S42927578,Edition
HOE LEONG CORPORATION LTD.,H20:SGX,SG1S47927920,Hoe Leong
ISDN HOLDINGS LIMITED,I07:SGX,SG1S48927937,ISDN
SINJIA LAND LIMITED,5HH:SGX,SG1S49927944,Sinjia Land
CITYNEON HOLDINGS LIMITED,5HJ:SGX,SG1S61928069,Cityneon
AUSNET SERVICES,X04:SGX,AU000000SPN6,AusNet Services
GENTING SINGAPORE PLC,G13:SGX,GB0043620292,Genting Sing
SINOPIPE HOLDINGS LIMITED,X06:SGX,SG1S70928191,Sinopipe
COSCO CORPORATION (S) LTD,F83:SGX,SG1S76928401,Cosco
SHANGHAI TURBO ENTERPRISES LTD,X27:SGX,KYG8064W1087,Shanghai Turbo
MYP LTD.,F86:SGX,SG1S80928447,MYP
COMMUNICATION DESIGN INTL LTD,5HT:CATALIST,SG1S82928544,Comm Design
CHINA ESSENCE GROUP LTD.,G54:SGX,KYG2111N1043,China Essence^
STAR PHARMACEUTICAL LIMITED,X64:SGX,SG1S90928817,Star Pharm
LUZHOU BIO-CHEM TECHNOLOGY LTD,L46:SGX,SG1S94928862,Luzhou Bio-Chem
KOH BROTHERS ECO ENGG LIMITED,5HV:CATALIST,SG1S95928879,Koh Eco
DIGILAND INTERNATIONAL LTD,G77:SGX,SG1T03928994,Digiland Intl^
CHINA MILK PRODUCTS GROUP LTD,G86:SGX,KYG2112C1078,China Milk
CHINA AVIATION OIL(S) CORP LTD,G92:SGX,SG1T06929205,China Aviation
ASCOTT RESIDENCE TRUST,A68U:SGX,SG1T08929278,Ascott Reit
CHINA MINING INTERNATIONAL LTD,Y34:SGX,KYG211721124,China Mining
CEFC INTERNATIONAL LIMITED,Y35:SGX,BMG1989W1055,CEFC Intl
SINGAPORE WINDSOR HOLDINGS LTD,Y45:SGX,SG1T17929525,SingWindsor
ADVANCED HOLDINGS LTD.,5IA:SGX,SG1T19929580,Advanced
FABCHEM CHINA LIMITED,I54:SGX,SG1T20929850,Fabchem China
ALBEDO LIMITED,5IB:CATALIST,SG1T21929867,Albedo
KEPPEL REIT,K71U:SGX,SG1T22929874,Keppel Reit
SING HOLDINGS LIMITED,5IC:SGX,SG1T28930090,SingHoldings
WORLD PRECISION MACHINERY LTD,B49:SGX,SG1T29930156,World Precision
LORENZO INTERNATIONAL LIMITED,5IE:SGX,SG1T35930281,Lorenzo Intl
NATURAL COOL HOLDINGS LIMITED,5IF:CATALIST,SG1T36930298,Natural Cool
GALLANT VENTURE LTD.,5IG:SGX,SG1T37930313,Gallant Venture
HENGXIN TECHNOLOGY LTD.,I85:SGX,SG1T38930320,Hengxin Tech
THAI BEVERAGE PUBLIC CO LTD,Y92:SGX,TH0902010014,ThaiBev
BANYAN TREE HOLDINGS LIMITED,B58:SGX,SG1T49930665,Banyan Tree
GMG GLOBAL LTD,5IM:SGX,SG1H27874756,GMG Global
WILMAR INTERNATIONAL LIMITED,F34:SGX,SG1T56930848,Wilmar Intl
YANLORD LAND GROUP LIMITED,Z25:SGX,SG1T57930854,Yanlord Land
"FRASER AND NEAVE, LIMITED",F99:SGX,SG1T58930911,F & N
FRASERS CENTREPOINT TRUST,J69U:SGX,SG1T60930966,Frasers Cpt Tr
PTERIS GLOBAL LIMITED,J74:SGX,SG1T64931051,Pteris Global
CDL HOSPITALITY TRUSTS,J85:SGX,SG1T66931158,CDL HTrust
CAMBRIDGE INDUSTRIAL TRUST,J91U:SGX,SG1T70931228,Cambridge Ind Tr
YOMA STRATEGIC HOLDINGS LTD,Z59:SGX,SG1T74931364,Yoma Strategic
SINGTEL,Z74:SGX,SG1T75931496,SingTel
PAN HONG PROPERTY GROUP LTD,P36:SGX,BMG6900A1163,Pan Hong Prop
BUKIT SEMBAWANG ESTATES LTD,B61:SGX,SG1T88932077,Bukit Sembawang
CHINA KANGDA FOOD COMPANY LTD,P74:SGX,BMG2110F1023,ChinaKangdaFood
PLASTOFORM HOLDINGS LIMITED,P82:SGX,BMG712311072,Plastoform
PT BERLIAN LAJU TANKER TBK,B66:SGX,ID1000099906,Berlian LajuTank
CHINA BEARING (SINGAPORE) LTD.,AD7:SGX,SG1U08932378,China Bearing
SINO TECHFIBRE LIMITED,AD8:SGX,BMG8169N1020,Sino Techfibre
TEXCHEM-PACK HOLDINGS (S) LTD.,AI1:SGX,SG1U10932531,Texchem-Pack^
OUHUA ENERGY HOLDINGS LIMITED,AJ2:SGX,BMG6843Q1033,Ouhua Energy^
SWIBER HOLDINGS LIMITED,AK3:SGX,SG1U13932587,Swiber
GEMS TV HOLDINGS LIMITED,AM3:SGX,KYG379151080,Gems Tv^
RIVERSTONE HOLDINGS LIMITED,AP4:SGX,SG1U22933048,Riverstone
CAPITARETAIL CHINA TRUST,AU8U:SGX,SG1U25933169,CapitaR China Tr
FIRST REAL ESTATE INV TRUST,AW9U:SGX,SG1U27933225,First Reit
GLOBAL INVESTMENTS LIMITED,B73:SGX,BMG3931N1002,Global Inv
CHINA ENERGY LIMITED,A0G:SGX,SG1U32933335,China Energy
AIMS PROPERTY SECURITIES FUND,A0P:SGX,AU000000APW5,AIMS Property
HIAP HOE LIMITED,5JK:SGX,SG1U37933462,Hiap Hoe
UNIONMET (SINGAPORE) LIMITED,A6F:SGX,SG1U46933891,Unionmet
INDOFOOD AGRI RESOURCES LTD.,5JS:SGX,SG1U47933908,Indofood Agri
CITYSPRING INFRASTRUCT TRUST,A7RU:SGX,SG1U48933923,CitySpring Trust
SUNVIC CHEMICAL HOLDINGS LTD,A7S:SGX,SG1U49933948,SunVic Chemical
VALUETRONICS HOLDINGS LIMITED,BN2:SGX,BMG9316Y1084,Valuetronics
KEPPEL CORPORATION LIMITED,BN4:SGX,SG1U68934629,Keppel Corp
CHINA HONGXING SPORTS LIMITED,BR9:SGX,BMG2154D1121,China Hongxing
YANGZIJIANG SHIPBLDG HLDGS LTD,BS6:SGX,SG1U76934819,YZJ Shipbldg SGD
FORELAND FABRICTECH HLDS LTD,B0I:SGX,BMG3658Z1041,Foreland FabriT
CHINA FISHERY GROUP LIMITED,B0Z:SGX,KYG211001212,China Fishery
DELONG HOLDINGS LIMITED,B1N:SGX,SG1U86935475,Delong
RICKMERS MARITIME,B1ZU:SGX,SG1U88935523,RickmersMaritime
M1 LIMITED,B2F:SGX,SG1U89935555,M1
TOTAL ACCESS COMM PUB CO LTD,B2W:SGX,TH0554010Z14,DTAC 200 USD
CHINA YUANBANG PROP HLDGS LTD,B2X:SGX,BMG2159Z1005,China Yuanbang
BLUE SKY POWER HOLDINGSLIMITED,B3C:SGX,BMG135981006,Blue Sky Power
TRAVELITE HOLDINGS LTD.,5KH:SGX,SG1U95935722,Travelite
SOUP RESTAURANT GROUP LIMITED,5KI:SGX,SG1U97935860,Soup Restaurant
SIN GHEE HUAT CORPORATION LTD.,B7K:SGX,SG1V04936067,Sin Ghee Huat
CHINA YONGSHENG LIMITED,5KK:CATALIST,SG1V05936116,China Yongsheng
CHINA XLX FERTILISER LTD.,B9R:SGX,SG1V07936171,China XLX Fert
COSMOSTEEL HOLDINGS LIMITED,B9S:SGX,SG1V08936188,CosmoSteel
STARHUB LTD,CC3:SGX,SG1V12936232,StarHub
CHINA SUNSINE CHEM HLDGS LTD.,CH8:SGX,SG1V17936401,China Sunsine
AVI-TECH ELECTRONICS LIMITED,CT1:SGX,SG1V30936768,Avi-Tech
YONG XIN INTL HOLDINGS LTD.,CX5:SGX,SG1V34936913,Yong Xin Intl^
ASCENDAS INDIA TRUST,CY6U:SGX,SG1V35936920,Ascendas-iTrust
SUNTAR ECO-CITY LIMITED,CZ3:SGX,SG1V36936952,Suntar Eco-City
DUTECH HOLDINGS LIMITED,CZ4:SGX,SG1V37936969,Dutech
FUJIAN ZHENYUN PLAS IND CO LTD,5KT:CATALIST,CNE1000007L2,Fujian Zhenyun
CHINA HONGCHENG HOLDINGS LTD,C0Z:SGX,BMG2154X1002,China Hongcheng^
EASTERN HOLDINGS LTD,5KU:SGX,SG1V44937026,Eastern
SUNMART HOLDINGS LIMITED,C2J:SGX,SG1V50937100,Sunmart
PARKWAYLIFE REIT,C2PU:SGX,SG1V52937132,ParkwayLife Reit
UNI-ASIA HOLDINGS LIMITED,C3T:SGX,KYG9241B1086,Uni-Asia
LH GROUP LIMITED,C4P:SGX,SG1V57937210,LH
SINGAPORE AIRLINES LTD,C6L:SGX,SG1V61937297,SIA
SITRA HOLDINGS (INTL) LIMITED,5LE:CATALIST,SG1V70937494,Sitra
JIUTIAN CHEMICAL GROUP LIMITED,C8R:SGX,SG1V71937527,Jiutian Chemical
SINOSTAR PEC HOLDINGS LIMITED,C9Q:SGX,SG1V73937608,Sinostar Pec
FUXING CHINA GROUP LIMITED,DC9:SGX,BMG3705H1079,Fuxing China
HANWELL HOLDINGS LIMITED,DM0:SGX,SG1V81937806,Hanwell
CHINA OILFIELD TEC SVCS GRPLTD,DT2:SGX,KYG215681035,China Oilfield^
MERMAID MARITIME PUBLIC CO LTD,DU4:SGX,TH0955010002,Mermaid Maritime
ARA ASSET MANAGEMENT LIMITED,D1R:SGX,BMG045121024,ARA Asset Mgt
MARCO POLO MARINE LTD.,5LY:SGX,SG1W14938268,MarcoPolo Marine
CACOLA FURNITURE INTL LIMITED,D2U:SGX,KYG1745C1042,Cacola^
CHANGTIAN PLASTIC & CHEM LTD,D2V:SGX,BMG210A21029,ChangtianPlastic
SINOTEL TECHNOLOGIES LTD.,D3W:SGX,SG1W20938336,Sinotel Tech
CHINA NEW TOWN DEVT CO LIMITED,D4N:SGX,VGG2156N1006,China New Town
LIPPO MALLS INDO RETAIL TRUST,D5IU:SGX,SG1W27938677,Lippo Malls Tr
Z-OBEE HOLDINGS LIMITED,D5N:SGX,BMG9891Y1012,Z-Obee
BENG KUANG MARINE LIMITED,5MC:SGX,SG1W30938821,Beng Kuang
DYNAMIC COLOURS LIMITED,D6U:SGX,SG1W32938860,Dynamic Colours
FIRST SHIP LEASE TRUST,D8DU:SGX,SG1U66934613,FSL Trust
FIRST RESOURCES LIMITED,EB5:SGX,SG1W35938974,First Resources
SOON LIAN HOLDINGS LIMITED,5MD:CATALIST,SG1W36938981,Soon Lian
KTL GLOBAL LIMITED,EB7:SGX,SG1W37938998,KTL Global
EZION HOLDINGS LIMITED,5ME:SGX,SG1W38939029,Ezion
MERCATOR LINES (SINGAPORE) LTD,EE6:SGX,SG1W39939069,Mercator Lines
JES INTERNATIONAL HOLDINGS LTD,EG0:SGX,SG1W40939082,JES Intl
UNITED OVERSEAS AUSTRALIA LTD,EH5:SGX,AU000000UOS4,UOA
KSH HOLDINGS LIMITED,ER0:SGX,SG1W44939146,KSH
OLD CHANG KEE LTD.,5ML:CATALIST,SG1W49939232,Old Chang Kee
SKY ONE HOLDINGS LIMITED,5MM:CATALIST,SG1W50939246,Sky One
EPICENTRE HOLDINGS LIMITED,5MQ:CATALIST,SG1W52939285,Epicentre
WEE HUR HOLDINGS LTD.,E3B:SGX,SG1W55939399,Wee Hur
GOLDEN AGRI-RESOURCES LTD,E5H:SGX,MU0117U00026,Golden Agri-Res
MEMSTAR TECHNOLOGY LTD.,5MS:SGX,SG1W58939412,Memstar Tech
THE HOUR GLASS LIMITED,E5P:SGX,SG1W59939429,The Hour Glass
YONGMAO HOLDINGS LIMITED,E6A:SGX,SG1W61939482,Yongmao
SAMKO TIMBER LIMITED,E6R:SGX,SG1W64939547,Samko Timber
ROXY-PACIFIC HOLDINGS LIMITED,E8Z:SGX,SG1W66939735,Roxy-Pacific
LI HENG CHEM FIBRE TECH LTD,E9A:SGX,BMG5487Z1068,Li Heng Chem
JOYAS INTERNATIONAL HLDGS LTD,E9L:SGX,BMG518851461,Joyas Intl
KINGSMEN CREATIVES LTD,5MZ:SGX,SG1W76939881,KingsmenCreative
ERATAT LIFESTYLE LIMITED,FO8:SGX,SG1W77939914,Eratat Lifestyle
DAPAI INTL HLDG CO. LTD.,FP1:SGX,BMG2656V1072,Dapai Intl^
JASPER INVESTMENTS LIMITED,FQ7:SGX,SG1W79939920,Jasper Inv
CHINA SPORTS INTL LIMITED,FQ8:SGX,BMG215901155,China Sports
HISAKA HOLDINGS LTD.,FV2:SGX,SG1W81939983,HISAKA
LOW KENG HUAT (SINGAPORE) LTD,F1E:SGX,SG1W86940333,Low Keng Huat
CHINA TAISAN TECH GRP HLDGSLTD,F2X:SGX,SG1W89940439,China Taisan
INDIABULLS PROPERTIES INVTRUST,F3EU:SGX,SG1W91940476,Indiabulls Trust
SINO CONSTRUCTION LIMITED,F3V:SGX,SG1W93940508,SinoConstruction
MENCAST HOLDINGS LTD.,5NF:SGX,SG1X07940643,Mencast
CHINA FIBRETECH LTD.,F6D:SGX,BMG215451011,China Fibretech
HEALTHWAY MEDICAL CORP LTD,5NG:CATALIST,SG1X09940682,Healthway Med
BOUSTEAD SINGAPORE LIMITED,F9D:SGX,SG1X13940751,Boustead
KENCANA AGRI LIMITED,F9M:SGX,SG1X16940808,Kencana Agri
ST. JAMES HOLDINGS LIMITED,5NH:CATALIST,SG1X17940831,St James
ARTIVISION TECHNOLOGIES LTD.,5NK:CATALIST,SG1X21941023,Artivision Tech
HAI LECK HOLDINGS LIMITED,GG7:SGX,SG1X27941084,Hai Leck
ASIA FASHION HOLDINGS LIMITED,GH3:SGX,BMG0539Q1134,Asia Fashion
DUKANG DISTILLERS HLDGS LTD,GJ8:SGX,BMG2860H1007,Dukang
CHINA KUNDA TECH HOLDINGS LTD,GU5:SGX,SG1X41941300,ChinaKundaTech^
NAM LEE PRESSED METAL INDS LTD,G0I:SGX,SG1X43941639,Nam Lee Metal
CHASEN HOLDINGS LIMITED,5NV:SGX,SG1X55941717,Chasen
OTTO MARINE LIMITED,G4F:SGX,SG1X59941754,Otto Marine
ANWELL TECHNOLOGIES LIMITED,G5X:SGX,SG1X63941782,Anwell Tech
KOYO INTERNATIONAL LIMITED,5OC:CATALIST,SG1X69942156,Koyo Intl
E2-CAPITAL HOLDINGS LIMITED,5OF:CATALIST,SG1X76942223,E2-Capital
JAPAN FOODS HOLDING LTD.,5OI:CATALIST,SG1X84942272,Japan Foods
TEHO INTERNATIONAL INC LTD.,5OQ:CATALIST,SG1Y15944495,Teho Intl
HEATEC JIETONG HOLDINGS LTD.,5OR:CATALIST,SG1Y31945526,Heatec Jietong
JUBILEE INDUSTRIES HLDGS LTD.,5OS:CATALIST,SG1Y33945565,Jubilee Ind
SINGAPORE MEDICAL GROUP LTD,5OT:CATALIST,SG1Y37945678,SingMedical
CHINA ENVIRONMENT LTD.,5OU:SGX,SG1Y42946521,China Env
SEROJA INVESTMENTS LIMITED,IW5:SGX,SG1Y44946602,Seroja Inv
PEC LTD.,IX2:SGX,SG1Y45946619,PEC
MARY CHIA HOLDINGS LIMITED,5OX:CATALIST,SG1Y51946677,Mary Chia
BROOKE ASIA LIMITED,5OY:CATALIST,SG1Y54946807,Brooke Asia
INCH KENNETH KAJANG RUBBER PLC,I4R:SGX,GB0004601091,Inch Kenneth
CHINA GAOXIAN FIBREFAB HLDGLTD,I4U:SGX,SG1Y67947917,China Gaoxian
GREAT GROUP HOLDINGS LIMITED,I5H:SGX,SG1Y70948001,Great Group
ZIWO HOLDINGS LTD.,I9T:SGX,SG1Y74948866,Ziwo
GOODLAND GROUP LIMITED,5PC:SGX,SG1Y75948873,Goodland
HENGYANG PETROCHEM LOG LIMITED,5PD:CATALIST,SG1Y78948920,Hengyang Petro
CHANGJIANG FERTILIZER HLGS LTD,JA9:SGX,SG1Y79949026,Changjiang Fert
JASON MARINE GROUP LIMITED,5PF:CATALIST,SG1Y80949072,Jason Marine
PLATO CAPITAL LIMITED,5PI:CATALIST,SG1Y93950240,Plato Capital
SBI OFFSHORE LIMITED,5PL:CATALIST,SG1Y97950360,SBI Offshore
HIAP TONG CORPORATION LTD.,5PO:CATALIST,SG1Z16951381,Hiap Tong
HOCK LIAN SENG HOLDINGS LTD,J2T:SGX,SG1Z21951640,Hock Lian Seng
TIGER AIRWAYS HOLDINGS LIMITED,J7X:SGX,SG1Z26952619,Tigerair
RYOBI KISO HOLDINGS LTD.,J8O:SGX,SG1Z28952732,Ryobi Kiso
SIN HENG HEAVY MACHINERY LTD,KF4:SGX,SG1Z33953592,Sin Heng Mach
HU AN CABLE HOLDINGS LTD.,KI3:SGX,SG1Z40953700,Hu An Cable
BBR HOLDINGS (S) LTD,KJ5:SGX,SG1Z42953799,BBR
COGENT HOLDINGS LIMITED,KJ9:SGX,SG1Z45953804,Cogent
QINGMEI GROUP HOLDINGS LIMITED,KT9:SGX,KYG730441022,Qingmei
GOLDEN OCEAN GROUP LIMITED,KU3:SGX,BMG4032A1045,Golden Ocean
TTJ HOLDINGS LIMITED,K1Q:SGX,SG1Z68955660,TTJ
CACHE LOGISTICS TRUST,K2LU:SGX,SG1Z70955880,Cache Log Trust
DEBAO PROPERTY DEVELOPMENT LTD,K2M:SGX,SG1Z71955905,Debao Property
CHINA MINZHONG FOOD CORP LTD,K2N:SGX,SG1Z73955945,China Minzhong
TIONG SENG HOLDINGS LIMITED,K2P:SGX,SG1Z75955968,Tiong Seng
GLOBAL PALM RESOURCES HLGS LTD,K6J:SGX,SG2A71957016,Global Palm Res
MANN SENG METAL INTL LIMITED,5QR:CATALIST,SG2B09957087,Mann Seng Metal
PRUDENTIAL PLC,K6S:SGX,GB0007099541,Prudential500USD
CHARISMA ENERGY SERVICES LTD,5QT:CATALIST,SG2B54957198,Charisma Energy
FORTERRA TRUST,LG2U:SGX,SG2B67958415,Forterra Trust
KEPPEL INFRASTRUCTURE TRUST,LH4U:SGX,SG2B76958422,Keppel Infra Tr
OUE LIMITED,LJ3:SGX,SG2B80958517,OUE
NET PACIFIC FIN HLDGS LTD,5QY:CATALIST,SG2B83959223,Net Pacific Fin
SINGAPORE EDEVELOPMENT LTD,5QZ:CATALIST,SG2B84959255,Singapore eDev
ASIA-PACIFIC STRATEGIC INV LTD,5RA:CATALIST,SG2B89959318,APAC Strategic
ES GROUP (HOLDINGS) LIMITED,5RC:CATALIST,SG2B91959363,ES
LEADER ENVIRONMENTAL TECH LTD,LS9:SGX,SG2B93959478,Leader Env
SMARTFLEX HOLDINGS LTD,5RE:CATALIST,SG2B95959500,Smartflex
CCFH LTD.,5RF:CATALIST,SG2B96959558,CCFH
WE HOLDINGS LTD.,5RJ:CATALIST,SG2C00960329,WE
ABTERRA LTD,L5I:SGX,SG2C12961455,Abterra
PSL HOLDINGS LTD,L6T:SGX,SG2C18961723,PSL
GLOBAL LOGISTIC PROP LIMITED,MC0:SGX,SG2C26962630,Global Logistic
YAMADA GREEN RESOURCES LIMITED,MC7:SGX,SG2C28962695,Yamada Green Res
MAPLETREE INDUSTRIAL TRUST,ME8U:SGX,SG2C32962814,Mapletree Ind Tr
ANCHUN INTERNATIONAL HLDGS LTD,MF5:SGX,SG2C33962847,Anchun Intl
MUN SIONG ENGINEERING LIMITED,MF6:SGX,SG2C34962861,Mun Siong Engg
XINREN ALUMINUM HOLDINGS LTD,MN5:SGX,SG2C35963611,Xinren Aluminium
BUND CENTER INVESTMENT LTD,MQ4:SGX,BMG1792W1284,Bund Center
NORDIC GROUP LIMITED,MR7:SGX,SG2C45963924,Nordic
NOVO GROUP LTD.,MR8:SGX,SG2C46963931,Novo
VARD HOLDINGS LIMITED,MS7:SGX,SG2C47963963,Vard
DRAGON GROUP INTL LIMITED,MT1:SGX,SG2C50963991,Dragon
MEWAH INTERNATIONAL INC.,MV4:SGX,KYG6074A1085,Mewah Intl
SABANA SHARI'AH COMPLIANT REIT,M1GU:SGX,SG2C57965205,Sabana Reit
AMTEK ENGINEERING LTD,M1P:SGX,SG2C61965225,Amtek Engg
TEE INTERNATIONAL LIMITED,M1Z:SGX,SG2C64965297,Tee Intl
DUTY FREE INTERNATIONALLIMITED,5SO:CATALIST,SG2C70966271,Duty Free Intl
ZHONGMIN BAIHUI RETAIL GRP LTD,5SR:SGX,SG2C76966531,Zhongmin Baihui
XMH HOLDINGS LTD.,M9F:SGX,SG2C78966612,XMH
SRI TRANG AGRO-INDUSTRY PCL,NC2:SGX,TH0254A10Z14,Sri Trang Agro
MALAYSIA SMELTING CORP BHD 100,NC9:SGX,MYL5916OO001,MSC 100
FRASERS COMMERCIAL TRUST,ND8U:SGX,SG2C81967185,Frasers Com Tr
SAPPHIRE CORPORATION LIMITED,NF1:SGX,SG2C82967234,Sapphire
UE E&C LTD.,NI3:SGX,SG2C88967436,UE E&C
CHEW'S GROUP LIMITED,5SY:CATALIST,SG2C90967473,Chew's
DYNA-MAC HOLDINGS LTD.,NO4:SGX,SG2C93967918,Dyna-Mac
RAFFLES EDUCATION CORP LTD,NR7:SGX,SG2C97968151,Raffles Edu
HUTCHISON PORT HOLDINGS TRUST,NS8U:SGX,SG2D00968206,HPH Trust USD
HOTUNG INVESTMENT HLDGS LTD,NT1:SGX,BMG4612P1095,Hotung Inv
EASTGATE TECHNOLOGY LTD,N0L:SGX,SG2D04968848,EastGate Tech
COMBINE WILL INTL HLDGS LTD,N0Z:SGX,KYG229811156,Combine Will 100
MAPLETREE COMMERCIAL TRUST,N2IU:SGX,SG2D18969584,Mapletree Com Tr
NAM CHEONG LIMITED,N4E:SGX,BMG6361R1117,Nam Cheong
PERENNIAL CHINA RETAIL TRUST,N9LU:SGX,SG2D36971208,Perennial CRT
JUNMA TYRE CORD COMPANY LTD,5TF:CATALIST,CNE1000007M0,Junma Tyre Cord
800 SUPER HOLDINGS LIMITED,5TG:CATALIST,SG2D42972083,800 Super
KITCHEN CULTURE HOLDINGS LTD.,5TI:CATALIST,SG2D45972171,Kitchen Culture
WEIYE HOLDINGS LIMITED,ON7:SGX,SG2D46972196,Weiye
FAR EAST GROUP LIMITED,5TJ:CATALIST,SG2D48972988,Far East
CENTURION CORPORATION LIMITED,OU8:SGX,SG2D51973063,Centurion
SHENG SIONG GROUP LTD,OV8:SGX,SG2D54973185,Sheng Siong
SWING MEDIA TECHNOLOGY GRP LTD,O2F:SGX,BMG8609Q2510,Swing Media Tech
AVIC INTL MARITIME HLDGLIMITED,O2I:SGX,SG2D58973959,AVIC
CHINASING INVESTMENT HLDG LTD,O2R:SGX,BMG2158U1100,ChinaSing Inv^
AIMS AMP CAP INDUSTRIAL REIT,O5RU:SGX,SG2D63974620,AIMSAMP Cap Reit
IEV HOLDINGS LIMITED,5TN:CATALIST,SG2D67974808,IEV
LONZA GROUP LTD,O6Z:SGX,CH0013841017,Lonza 10
