56,GTI2014,SG1Y42946521,5OU,CHINA ENVIRONMENT LTD,31-Dec-13,58,7,65
56,GTI2014,SG1I04877995,S24,STATS CHIPPAC LTD,31-Dec-13,57,8,65
58,GTI2014,SG0568007405,568,BAKER TECHNOLOGY LTD,31-Dec-13,61,3,64
58,GTI2014,SG1T06929205,G92,CHINA AVIATION OIL (S) CORP LTD,31-Dec-13,54,10,64
58,GTI2014,SG1P12002132,H12,HOTEL ROYAL LTD,31-Dec-13,55,9,64
58,GTI2014,SG2F40988253,5VC,KORI HLDGS LTD,31-Dec-13,54,10,64
58,GTI2014,SG1G91873040,578,KS ENERGY LTD,31-Dec-13,49,15,64
58,GTI2014,SG1Q25921608,P34,PETRA FOODS LTD,31-Dec-13,61,3,64
64,GTI2014,SG1U47933908,5JS,INDOFOOD AGRI RESOURCES LTD,31-Dec-13,59,4,63
64,GTI2014,SG1O60914015,5DS,MEGACHEM LTD,31-Dec-13,54,9,63
64,GTI2014,SG2C47963963,MS7,VARD HLDGS LTD (FORMERLY STX OSV HLDGS LTD),31-Dec-13,57,6,63
67,GTI2014,VGG2156N1006,D4N,CHINA NEW TOWN DEVELOPMENT CO LTD,31-Dec-13,54,8,62
67,GTI2014,SG0504000043,G50,GRAND BANKS YACHTS LTD,30-Jun-13,55,7,62
67,GTI2014,SG1P73919000,5EN,MIDAS HLDGS LTD,31-Dec-13,52,10,62
70,GTI2014,SG1F76860344,H22,HONG LEONG ASIA LTD,31-Dec-13,52,9,61
70,GTI2014,SG2C34962861,MF6,MUN SIONG ENGINEERING LTD,31-Dec-13,52,9,61
70,GTI2014,SG1D93474618,528,SECOND CHANCE PROPERTIES LTD,31-Aug-13,52,9,61
70,GTI2014,SG2G92002424,S13,SP CORP LTD,31-Dec-13,52,9,61
74,GTI2014,SG1N88910129,5CT,ECOWISE HLDGS LTD,31-Oct-13,56,4,60
74,GTI2014,SG1B51001017,C07,JARDINE CYCLE & CARRIAGE LTD,31-Dec-13,57,3,60
74,GTI2014,SG1K25001639,U04,UNITED ENGINEERS LTD,31-Dec-13,57,3,60
77,GTI2014,SG1V17936401,CH8,CHINA SUNSINE CHEMICAL HLDGS LTD,31-Dec-13,58,1,59
77,GTI2014,SG1D25001158,H02,HAW PAR CORP LTD,31-Dec-13,59,0,59
77,GTI2014,SG1X07940643,5NF,MENCAST HLDGS LTD,31-Dec-13,56,3,59
77,GTI2014,SG1U22933048,AP4,RIVERSTONE HLDGS LTD,31-Dec-13,47,12,59
77,GTI2014,SG2F03983689,5UN,SINCAP GROUP LTD,31-Dec-13,49,10,59
77,GTI2014,SG1W63939514,E6E,SOUND GLOBAL LTD,31-Dec-13,53,6,59
77,GTI2014,BMG4897Y1066,OJ4,W CORP LTD (FORMERLY CONTEL CORP LTD),31-Dec-13,55,4,59
