Exchange,Ticker,Date,Value,Volume,Currency
CATALIST,502,12/05/2015,0,0,SGD
CATALIST,502,11/05/2015,0,0,SGD
CATALIST,502,08/05/2015,0,0,SGD
CATALIST,502,07/05/2015,0,0,SGD
CATALIST,502,06/05/2015,0,0,SGD
CATALIST,502,05/05/2015,0,0,SGD
CATALIST,502,04/05/2015,0,0,SGD
CATALIST,502,30/04/2015,0,0,SGD
CATALIST,502,29/04/2015,0,0,SGD
CATALIST,502,28/04/2015,0,0,SGD
CATALIST,502,27/04/2015,0,0,SGD
CATALIST,502,24/04/2015,0,0,SGD
CATALIST,502,23/04/2015,0,0,SGD
CATALIST,502,22/04/2015,0,0,SGD
CATALIST,502,21/04/2015,0,0,SGD
CATALIST,502,20/04/2015,0,0,SGD
CATALIST,502,17/04/2015,35,100,SGD
CATALIST,502,16/04/2015,0,0,SGD
CATALIST,502,15/04/2015,0,0,SGD
CATALIST,502,14/04/2015,0,0,SGD
CATALIST,502,13/04/2015,436,2100,SGD
CATALIST,502,10/04/2015,0,0,SGD
CATALIST,502,09/04/2015,0,0,SGD
CATALIST,502,08/04/2015,0,0,SGD
CATALIST,502,07/04/2015,0,0,SGD
CATALIST,502,06/04/2015,0,0,SGD
CATALIST,502,02/04/2015,0,0,SGD
CATALIST,502,01/04/2015,0,0,SGD
CATALIST,502,31/03/2015,0,0,SGD
CATALIST,502,30/03/2015,0,0,SGD
CATALIST,502,27/03/2015,0,0,SGD
CATALIST,502,26/03/2015,0,0,SGD
CATALIST,502,25/03/2015,0,0,SGD
CATALIST,502,24/03/2015,0,0,SGD
CATALIST,502,23/03/2015,0,0,SGD
CATALIST,502,20/03/2015,0,0,SGD
CATALIST,502,19/03/2015,0,0,SGD
CATALIST,502,18/03/2015,0,0,SGD
CATALIST,502,17/03/2015,0,0,SGD
CATALIST,502,16/03/2015,0,0,SGD
CATALIST,502,13/03/2015,0,0,SGD
CATALIST,502,12/03/2015,0,0,SGD
CATALIST,502,11/03/2015,0,0,SGD
CATALIST,502,10/03/2015,0,0,SGD
CATALIST,502,09/03/2015,0,0,SGD
CATALIST,502,06/03/2015,0,0,SGD
CATALIST,502,05/03/2015,0,0,SGD
CATALIST,502,04/03/2015,0,0,SGD
CATALIST,502,03/03/2015,0,0,SGD
CATALIST,502,02/03/2015,0,0,SGD
CATALIST,502,27/02/2015,0,0,SGD
CATALIST,502,26/02/2015,0,0,SGD
CATALIST,502,25/02/2015,0,0,SGD
CATALIST,502,24/02/2015,0,0,SGD
